worker_id,average_monthly_income,income_volatility_percentage,expense_to_income_ratio,work_tenure_months,historical_default_risk
GIG_001,28227.32,23.39,0.6964,20,1
GIG_002,22448.97,7.98,0.6121,101,0
GIG_003,9492.29,13.98,0.6696,104,0
GIG_004,30458.92,5.47,0.6322,17,1
GIG_005,15502.44,16.64,0.4183,92,0
GIG_006,46306.51,5.0,0.6927,28,1
GIG_007,28040.34,22.74,0.5293,44,1
GIG_008,14699.45,26.18,0.7326,92,1
GIG_009,14645.72,28.68,0.7408,17,1
GIG_010,39440.86,23.94,0.7078,107,1
GIG_011,80000.0,18.3,0.4091,113,0
GIG_012,20914.24,18.89,0.892,55,0
GIG_013,35574.17,6.27,0.9382,2,1
GIG_014,16557.54,9.48,0.7231,44,1
GIG_015,18941.33,16.61,0.7587,112,1
GIG_016,24350.55,12.86,0.6156,91,1
GIG_017,21494.12,16.97,0.5504,99,0
GIG_018,21868.82,15.91,0.3677,88,1
GIG_019,10783.22,10.61,0.5105,72,0
GIG_020,24337.73,13.46,0.8556,104,1
GIG_021,9402.15,19.85,0.997,99,0
GIG_022,24374.23,13.15,0.4999,112,1
GIG_023,29768.73,5.0,0.3663,7,0
GIG_024,20863.12,13.86,0.51,10,0
GIG_025,29023.23,14.66,0.5413,57,0
GIG_026,24980.14,18.39,0.7585,53,1
GIG_027,35539.02,36.09,0.4925,119,1
GIG_028,41416.5,18.04,0.5177,30,0
GIG_029,34302.07,13.53,0.5206,36,0
GIG_030,33546.09,23.44,0.5307,103,0
GIG_031,31023.39,6.79,0.8836,47,0
GIG_032,20890.12,12.72,0.9375,36,1
GIG_033,8098.03,22.65,0.3496,45,0
GIG_034,15065.84,24.06,0.6144,26,1
GIG_035,28520.53,9.56,0.6503,96,1
GIG_036,80000.0,14.19,0.4555,70,0
GIG_037,12348.28,22.27,0.8474,23,1
GIG_038,22972.4,5.0,0.6533,120,1
GIG_039,12295.46,31.05,0.5471,61,1
GIG_040,18409.1,13.98,0.3985,12,1
GIG_041,17275.18,24.74,0.6157,72,1
GIG_042,20248.89,12.18,0.5209,97,0
GIG_043,22245.85,28.11,0.68,69,0
GIG_044,58787.71,10.74,0.7432,106,0
GIG_045,9528.17,5.15,0.5264,34,0
GIG_046,17633.76,5.0,0.5484,97,1
GIG_047,31619.75,32.28,0.5509,64,1
GIG_048,8967.93,21.69,1.0025,44,1
GIG_049,30269.11,28.72,0.5324,64,1
GIG_050,8000.0,8.76,0.5979,42,0
GIG_051,12751.87,5.0,0.5661,1,0
GIG_052,27536.01,7.88,0.8938,118,0
GIG_053,36346.17,11.56,0.7109,5,1
GIG_054,15919.83,8.04,0.5256,35,1
GIG_055,16977.1,27.82,0.8436,74,0
GIG_056,25545.51,18.35,0.4885,117,0
GIG_057,10795.86,30.65,0.9512,68,1
GIG_058,18411.32,5.0,0.4491,75,0
GIG_059,45800.37,13.29,0.7303,35,1
GIG_060,21424.31,6.58,0.659,73,1
GIG_061,16614.69,6.73,0.4643,48,1
GIG_062,19174.94,9.74,0.4287,8,1
GIG_063,22856.72,15.73,0.6388,120,1
GIG_064,19572.49,26.16,0.8142,53,1
GIG_065,14239.45,34.42,0.4288,19,0
GIG_066,17977.26,11.38,0.535,87,0
GIG_067,11743.58,8.21,0.915,89,0
GIG_068,33735.98,30.15,0.8264,30,1
GIG_069,34817.44,13.39,0.9584,26,1
GIG_070,21211.47,18.21,0.5857,30,1
GIG_071,24978.87,36.57,1.0358,73,1
GIG_072,38521.16,5.0,0.5267,40,0
GIG_073,8284.93,10.41,0.6785,1,0
GIG_074,25523.9,22.04,0.6032,110,0
GIG_075,38780.09,24.33,0.6454,60,1
GIG_076,24047.94,13.84,0.7951,96,0
GIG_077,12261.95,6.35,0.761,103,0
GIG_078,12846.64,5.0,0.7228,44,1
GIG_079,12523.82,21.19,0.7247,73,1
GIG_080,12454.06,20.71,0.9196,116,1
GIG_081,8000.0,15.14,0.6769,4,1
GIG_082,38557.72,17.95,0.5704,66,1
GIG_083,51524.98,30.03,0.435,101,0
GIG_084,18257.26,31.58,0.8479,19,1
GIG_085,80000.0,5.0,0.5941,1,0
GIG_086,39394.72,10.36,0.4624,22,0
GIG_087,26167.89,25.97,0.5604,49,1
GIG_088,34805.02,21.71,0.5603,75,1
GIG_089,19233.72,11.07,0.7619,14,1
GIG_090,8000.0,20.68,0.4257,72,1
GIG_091,29200.46,28.8,0.6667,97,1
GIG_092,53711.12,16.06,0.7712,79,0
GIG_093,21398.72,30.68,0.4822,16,1
GIG_094,31198.57,10.5,0.7812,12,1
GIG_095,21732.16,23.88,0.7969,69,1
GIG_096,8000.0,5.0,0.7159,115,0
GIG_097,30181.88,42.84,0.8653,84,1
GIG_098,15185.78,10.95,0.8753,76,1
GIG_099,44776.7,9.72,0.6154,112,1
GIG_100,23754.89,22.26,0.7041,84,1
